,nr_serie,istation,idate,fdate,icarreira,isentido,ivariante,fstation,fcarreira,fsentido,fvariante,transfer_count,transfer_sum_time,transfer_sum_distance,travel_time,travel_distance,trust,cod_titulo,itaz,ftaz
942,NA,12115,NA,NA,15E,DESC,5,917,15E,DESC,5,0,0,0,406,0,42,3033581,Alcantara (Santo Amaro | Sul),Santa Maria Maior (Baixa)
943,NA,14803,NA,NA,734,DESC,8,12102,732,ASC,0,2,3717,1428.6,4228,0,88.66666667,3033581,Sao Vicente de Fora (Sao Vicente),Alcantara (Santo Amaro | Sul)
944,NA,6722,NA,NA,28E,ASC,4,6723,28E,DESC,8,1,2365,0,3164,0,100,3033581,Misericordia (Bairro Alto),Misericordia (Sao Paulo)
945,NA,4109,NA,NA,728,ASC,0,7825,728,ASC,0,0,0,0,1695,0,100,3032779,Belem (Belem | Oeste),Parque das Nacoes (Estacao Oriente)
946,NA,801,NA,NA,28E,ASC,8,10516,28E,ASC,8,0,0,0,507,0,77,3033600,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
947,NA,801,NA,NA,28E,ASC,8,10516,28E,ASC,8,0,0,0,507,0,77,3033600,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
948,NA,13205,NA,NA,15E,DESC,1,3803,18E,DESC,8,1,1132,117.4,1771,0,100,3033581,Belem (Belem | Oeste),Misericordia (Sao Paulo)
949,NA,3807,NA,NA,758,ASC,0,10501,758,ASC,0,0,0,0,117,0,86,3033581,Misericordia (Sao Paulo),Santa Maria Maior (Baixa)
950,NA,903,NA,NA,54E,DESC,0,904,54E,DESC,0,0,0,0,0,0,100,3033581,Santa Maria Maior (Baixa),Santa Maria Maior (Baixa)
951,NA,3807,NA,NA,758,ASC,0,10501,758,ASC,0,0,0,0,117,0,86,3033581,Misericordia (Sao Paulo),Santa Maria Maior (Baixa)
952,NA,903,NA,NA,54E,DESC,0,904,54E,DESC,0,0,0,0,0,0,100,3033581,Santa Maria Maior (Baixa),Santa Maria Maior (Baixa)
953,NA,903,NA,NA,54E,DESC,0,904,54E,DESC,0,0,0,0,0,0,100,3033581,Santa Maria Maior (Baixa),Santa Maria Maior (Baixa)
954,NA,13205,NA,NA,15E,DESC,1,3803,18E,DESC,8,1,1113,117.4,1752,0,100,3033581,Belem (Belem | Oeste),Misericordia (Sao Paulo)
955,NA,3807,NA,NA,758,ASC,0,3825,758,ASC,0,0,0,0,26,0,99,3033581,Misericordia (Sao Paulo),Misericordia (Sao Paulo)
956,NA,3802,NA,NA,728,DESC,0,4102,728,DESC,0,0,0,0,466,0,76,3033581,Misericordia (Sao Paulo),Belem (Belem | Este)
957,NA,4115,NA,NA,15E,DESC,5,12115,15E,DESC,5,0,0,0,151,0,100,3033581,Belem (Belem | Este),Alcantara (Santo Amaro | Sul)
958,NA,1014,NA,NA,51E,DESC,0,10611,51E,DESC,0,0,0,0,0,0,100,3033581,Santo Antonio (Sao Mamede),Misericordia (Bairro Alto)
959,NA,10513,NA,NA,28E,DESC,8,13811,28E,DESC,8,0,0,0,158,0,100,3033581,Misericordia (Sao Paulo),Santa Maria Maior (Castelo)
960,NA,13810,NA,NA,737,DESC,0,912,737,DESC,0,0,0,0,451,0,72,3033581,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
961,NA,1014,NA,NA,51E,DESC,0,10611,51E,DESC,0,0,0,0,0,0,100,3033581,Santo Antonio (Sao Mamede),Misericordia (Bairro Alto)
962,NA,10513,NA,NA,28E,DESC,8,13811,28E,DESC,8,0,0,0,158,0,100,3033581,Misericordia (Sao Paulo),Santa Maria Maior (Castelo)
963,NA,13810,NA,NA,737,DESC,0,912,737,DESC,0,0,0,0,451,0,72,3033581,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
964,NA,9603,NA,NA,728,ASC,0,3803,728,ASC,0,0,0,0,632,0,100,3033581,Belem (Belem | Oeste),Misericordia (Sao Paulo)
965,NA,1014,NA,NA,51E,DESC,0,10611,51E,DESC,0,0,0,0,0,0,100,3033581,Santo Antonio (Sao Mamede),Misericordia (Bairro Alto)
966,NA,10513,NA,NA,28E,DESC,8,13811,28E,DESC,8,0,0,0,158,0,100,3033581,Misericordia (Sao Paulo),Santa Maria Maior (Castelo)
967,NA,13810,NA,NA,737,DESC,0,912,737,DESC,0,0,0,0,451,0,72,3033581,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
968,NA,13804,NA,NA,28E,DESC,8,5602,28E,DESC,8,0,0,0,32,0,22,3033583,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
969,NA,13804,NA,NA,28E,DESC,8,5602,28E,DESC,8,0,0,0,32,0,22,3033583,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
970,NA,13812,NA,NA,28E,ASC,8,5604,28E,ASC,8,0,0,0,277,0,100,3033581,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
971,NA,3802,NA,NA,15E,ASC,5,9611,15E,ASC,5,0,0,0,1016,0,100,3033581,Misericordia (Sao Paulo),Belem (Belem | Oeste)
972,NA,5605,NA,NA,28E,DESC,8,5602,28E,DESC,8,1,424,0,713,0,83,3033581,Santa Maria Maior (Baixa),Santa Maria Maior (Baixa)
973,NA,9611,NA,NA,15E,DESC,4,3803,15E,DESC,4,0,0,0,518,0,100,3033581,Belem (Belem | Oeste),Misericordia (Sao Paulo)
974,NA,13812,NA,NA,28E,ASC,8,5604,28E,ASC,8,0,0,0,277,0,100,3033581,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
975,NA,3802,NA,NA,15E,ASC,5,9611,15E,ASC,5,0,0,0,1016,0,100,3033581,Misericordia (Sao Paulo),Belem (Belem | Oeste)
976,NA,5605,NA,NA,28E,DESC,8,5602,28E,DESC,8,1,415,0,704,0,83,3033581,Santa Maria Maior (Baixa),Santa Maria Maior (Baixa)
977,NA,9611,NA,NA,15E,DESC,4,3803,15E,DESC,4,0,0,0,518,0,100,3033581,Belem (Belem | Oeste),Misericordia (Sao Paulo)
978,NA,3803,NA,NA,15E,DESC,5,9611,15E,ASC,5,1,428,55.7,1592,0,100,3033581,Misericordia (Sao Paulo),Belem (Belem | Oeste)
979,NA,9603,NA,NA,751,DESC,0,3803,15E,DESC,5,2,1646,41.2,2530,0,100,3033581,Belem (Belem | Oeste),Misericordia (Sao Paulo)
980,NA,3803,NA,NA,15E,DESC,5,9611,15E,ASC,5,1,437,55.7,1601,0,100,3033581,Misericordia (Sao Paulo),Belem (Belem | Oeste)
981,NA,9603,NA,NA,751,DESC,0,3803,15E,DESC,5,1,2016,126.3,2528,0,100,3033581,Belem (Belem | Oeste),Misericordia (Sao Paulo)
982,NA,13811,NA,NA,28E,DESC,8,801,28E,DESC,8,0,0,0,283,0,94,3033581,Santa Maria Maior (Castelo),Santa Maria Maior (Castelo)
983,NA,3802,NA,NA,728,DESC,0,9604,728,DESC,0,0,0,0,548,0,100,3032779,Misericordia (Sao Paulo),Belem (Belem | Oeste)
984,NA,9603,NA,NA,728,ASC,0,3803,728,ASC,0,0,0,0,632,0,100,3032779,Belem (Belem | Oeste),Misericordia (Sao Paulo)
985,NA,14602,NA,NA,753,DESC,4,406,720,DESC,1,1,328,62.1,1166,0,87,3033581,,Arroios (Arroios | Norte)
986,NA,3810,NA,NA,208,ASC,0,413,208,ASC,0,0,0,0,491,0,100,3033581,Misericordia (Sao Paulo),Arroios (Arroios | Norte)
987,NA,506,NA,NA,208,DESC,0,610,208,DESC,0,0,0,0,73,0,29,3033581,Arroios (Arroios | Sul),Arroios (Arroios | Sul)
988,NA,506,NA,NA,208,DESC,0,610,208,DESC,0,0,0,0,73,0,29,3033581,Arroios (Arroios | Sul),Arroios (Arroios | Sul)
989,NA,8202,NA,NA,728,DESC,0,9604,728,DESC,0,0,0,0,699,0,100,3133592,Santa Maria Maior (Castelo),Belem (Belem | Oeste)
990,NA,9603,NA,NA,728,ASC,4,3803,728,ASC,4,0,0,0,632,0,100,3133592,Belem (Belem | Oeste),Misericordia (Sao Paulo)
991,NA,9609,NA,NA,15E,DESC,5,5512,15E,DESC,5,0,0,0,569,0,80,3033581,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
992,NA,9609,NA,NA,15E,DESC,5,5512,15E,DESC,5,0,0,0,569,0,80,3033581,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
993,NA,917,NA,NA,15E,ASC,5,9611,15E,ASC,5,0,0,0,1157,0,100,3133592,Santa Maria Maior (Baixa),Belem (Belem | Oeste)
994,NA,9611,NA,NA,15E,DESC,5,917,15E,DESC,5,0,0,0,644,0,100,3133592,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
995,NA,917,NA,NA,15E,ASC,5,9611,15E,ASC,5,0,0,0,1157,0,100,3133592,Santa Maria Maior (Baixa),Belem (Belem | Oeste)
996,NA,9611,NA,NA,15E,DESC,5,917,15E,DESC,5,0,0,0,644,0,100,3133592,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
997,NA,5515,NA,NA,15E,ASC,5,9611,15E,ASC,5,0,0,0,1089,0,100,3033581,Santa Maria Maior (Baixa),Belem (Belem | Oeste)
998,NA,9609,NA,NA,15E,DESC,5,5512,15E,DESC,5,0,0,0,569,0,100,3033581,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
999,NA,2120,NA,NA,734,ASC,8,7825,728,ASC,0,1,747,106.6,1719,0,100,3032779,Santa Maria Maior (Castelo),Parque das Nacoes (Estacao Oriente)
