trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
25209758,06:30:00,06:30:00,M19,0,,,,
25209758,06:31:08,06:31:36,M10,1,,,,
25209758,06:32:42,06:33:04,M18,2,,,,
25209758,06:33:58,06:34:26,M17,3,,,,
25209758,06:35:32,06:35:58,M16,4,,,,
25209758,06:37:07,06:37:34,M15,5,,,,
25209758,06:39:31,06:39:56,M14,6,,,,
25209758,06:41:56,06:42:37,M13,7,,,,
25209758,06:44:04,06:44:27,M38,8,,,,
25209758,06:45:35,06:45:57,M39,9,,,,
25209758,06:47:08,06:47:30,M40,10,,,,
25209758,06:49:58,06:50:23,M41,11,,,,
25209758,06:51:54,06:52:34,M42,12,,,,
25209760,07:15:00,07:15:00,M19,0,,,,
25209760,07:16:08,07:16:36,M10,1,,,,
25209760,07:17:42,07:18:04,M18,2,,,,
25209760,07:18:58,07:19:26,M17,3,,,,
25209760,07:20:32,07:20:58,M16,4,,,,
25209760,07:22:07,07:22:34,M15,5,,,,
25209760,07:24:31,07:24:56,M14,6,,,,
25209760,07:26:56,07:27:37,M13,7,,,,
25209760,07:29:04,07:29:27,M38,8,,,,
25209760,07:30:35,07:30:57,M39,9,,,,
25209760,07:32:08,07:32:30,M40,10,,,,
25209760,07:34:58,07:35:23,M41,11,,,,
25209760,07:36:54,07:37:34,M42,12,,,,
25209762,09:30:00,09:30:00,M19,0,,,,
25209762,09:31:08,09:31:36,M10,1,,,,
25209762,09:32:42,09:33:04,M18,2,,,,
25209762,09:33:58,09:34:26,M17,3,,,,
25209762,09:35:32,09:35:58,M16,4,,,,
25209762,09:37:07,09:37:34,M15,5,,,,
25209762,09:39:31,09:39:56,M14,6,,,,
25209762,09:41:56,09:42:37,M13,7,,,,
25209762,09:44:04,09:44:27,M38,8,,,,
25209762,09:45:35,09:45:57,M39,9,,,,
25209762,09:47:08,09:47:30,M40,10,,,,
25209762,09:49:58,09:50:23,M41,11,,,,
25209762,09:51:54,09:52:34,M42,12,,,,
25209764,10:05:50,10:05:50,M19,0,,,,
25209764,10:06:58,10:07:26,M10,1,,,,
25209764,10:08:32,10:08:54,M18,2,,,,
25209764,10:09:48,10:10:16,M17,3,,,,
25209764,10:11:22,10:11:48,M16,4,,,,
25209764,10:12:57,10:13:24,M15,5,,,,
25209764,10:15:21,10:15:46,M14,6,,,,
25209764,10:17:46,10:18:27,M13,7,,,,
25209764,10:19:54,10:20:17,M38,8,,,,
25209764,10:21:25,10:21:47,M39,9,,,,
25209764,10:22:58,10:23:20,M40,10,,,,
25209764,10:25:48,10:26:13,M41,11,,,,
