shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
160226,38.751503,-9.197268,21,
160226,38.753224,-9.196346,22,
160226,38.754302,-9.195602,23,
160226,38.752674,-9.189517,24,
161050,38.725429,-9.151414,1,
161050,38.725307,-9.151907,2,
161050,38.725911,-9.157439,3,
161050,38.72792,-9.159334,4,
161050,38.727491,-9.162923,5,
161050,38.726517,-9.165035,6,
161050,38.728964,-9.166095,7,
161050,38.729435,-9.167073,8,
161050,38.727982,-9.170396,9,
161050,38.731375,-9.168504,10,
161050,38.733334,-9.168901,11,
161050,38.734887,-9.170344,12,
161050,38.73251,-9.172404,13,
161050,38.730742,-9.173324,14,
161129,38.725429,-9.151414,1,
161129,38.725307,-9.151907,2,
161129,38.725911,-9.157439,3,
161129,38.72792,-9.159334,4,
161129,38.727491,-9.162923,5,
161129,38.726517,-9.165035,6,
161129,38.728964,-9.166095,7,
161129,38.729435,-9.167073,8,
161129,38.727982,-9.170396,9,
161129,38.731375,-9.168504,10,
161129,38.733334,-9.168901,11,
161129,38.734887,-9.170344,12,
161129,38.732509,-9.171798,13,
161258,38.746958,-9.220184,1,
161258,38.745616,-9.222064,2,
161258,38.743792,-9.220207,3,
161258,38.745821,-9.217526,4,
161258,38.746835,-9.216218,5,
161258,38.74597,-9.212384,6,
161258,38.743987,-9.211066,7,
161258,38.741798,-9.211704,8,
161258,38.74075,-9.208896,9,
161258,38.741726,-9.206607,10,
161258,38.743861,-9.205517,11,
161258,38.74511,-9.202743,12,
161258,38.744722,-9.199043,13,
161258,38.74426,-9.1943,14,
161258,38.744487,-9.192036,15,
161258,38.746335,-9.189654,16,
161258,38.748546,-9.191213,17,
161258,38.752543,-9.189425,18,
161290,38.733227,-9.132798,1,
161290,38.732653,-9.130557,2,
161290,38.730546,-9.127489,3,
161290,38.728365,-9.124673,4,
161290,38.725037,-9.122398,5,
161290,38.722732,-9.121495,6,
161290,38.721291,-9.119838,7,
161290,38.720385,-9.118108,8,
161290,38.71678,-9.119137,9,
161290,38.713735,-9.122519,10,
161292,38.713735,-9.122519,1,
161292,38.713531,-9.123471,2,
161292,38.716375,-9.120627,3,
161292,38.718064,-9.118806,4,
161292,38.720461,-9.117811,5,
161292,38.721811,-9.119966,6,
161292,38.723521,-9.121707,7,
161292,38.725767,-9.122426,8,
161292,38.728363,-9.124347,9,
161292,38.730551,-9.127102,10,
161292,38.732109,-9.128295,11,
161292,38.732735,-9.130411,12,
161292,38.733256,-9.132478,13,
161297,38.737184,-9.133993,1,
161297,38.733142,-9.132494,2,
161297,38.732653,-9.130557,3,
161297,38.731365,-9.127094,4,
161297,38.730263,-9.124933,5,
161297,38.728861,-9.122193,6,
161297,38.727485,-9.119609,7,
161297,38.725664,-9.118899,8,
161297,38.724406,-9.117395,9,
161297,38.722855,-9.115098,10,
161297,38.724688,-9.113388,11,
161297,38.726271,-9.111868,12,
161297,38.727433,-9.110292,13,
161297,38.730248,-9.107894,14,
161297,38.733098,-9.10554,15,
161297,38.734908,-9.104704,16,
161297,38.737261,-9.103605,17,
161297,38.73968,-9.102869,18,
161297,38.742348,-9.102104,19,
161297,38.744609,-9.102136,20,
